geneid,GOid
Tatro_007083-T1,GO:0003824;GO:0005515;GO:0009116
Tatro_003933-T1,GO:0003824;GO:0016747;GO:0008152
Tatro_010701-T1,GO:0006412;GO:0005622;GO:0003735;GO:0005840
Tatro_007632-T1,GO:0005515
Tatro_006805-T1,GO:0005515
Tatro_006948-T1,GO:0003824;GO:0031177;GO:0008152
Tatro_006872-T1,GO:0003677
Tatro_010614-T1,GO:0005515;GO:0006520
Tatro_007591-T1,GO:0006493;GO:0000030;GO:0016020
Tatro_008387-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_010836-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_006947-T1,GO:0031177;GO:0003824;GO:0008152;GO:0016539
Tatro_006109-T1,GO:0055114;GO:0016491
Tatro_011457-T1,GO:0005515;GO:0050999;GO:0008270
Tatro_007243-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_010078-T1,GO:0016787
Tatro_005504-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_007025-T1,GO:0006412
Tatro_006195-T1,GO:0055114;GO:0016491
Tatro_007804-T1,GO:0016887;GO:0055085;GO:0006810;GO:0005524;GO:0042626;GO:0016021
Tatro_008912-T1,GO:0019773;GO:0005839;GO:0004298;GO:0051603;GO:0006511;GO:0004175
Tatro_004721-T1,GO:0046872;GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0003676;GO:0000981
Tatro_000288-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_011880-T1,GO:0006807;GO:0016810
Tatro_010275-T1,GO:0005509;GO:0016020;GO:0004571
Tatro_008515-T1,GO:0005515
Tatro_003258-T1,GO:0005515
Tatro_006023-T1,GO:0006631;GO:0003857;GO:0016491;GO:0055114;GO:0070403
Tatro_004013-T1,GO:0008080
Tatro_009831-T1,GO:0008290;GO:0003779;GO:0030036;GO:0051016;GO:0005737
Tatro_000521-T1,GO:0030259;GO:0016758;GO:0005975
Tatro_004195-T1,GO:0006886;GO:0006913;GO:0016020;GO:0005525;GO:0003924;GO:0007165;GO:0005622;GO:0007264;GO:0015031
Tatro_008307-T1,GO:0006260;GO:0003677
Tatro_011426-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_006946-T1,GO:0003824;GO:0008152
Tatro_001936-T1,GO:0006566;GO:0004413;GO:0005524
Tatro_000742-T1,GO:0046952;GO:0008410;GO:0008152
Tatro_006095-T1,GO:0051287;GO:0055114;GO:0008152;GO:0016616
Tatro_008666-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_000197-T1,GO:0016620;GO:0016491;GO:0008152;GO:0055114
Tatro_003885-T1,GO:0004156;GO:0042558;GO:0003848;GO:0044237;GO:0009396
Tatro_001608-T1,GO:0004553;GO:0005975
Tatro_004996-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_006564-T1,GO:0005515;GO:0005488
Tatro_006851-T1,GO:0016787;GO:0005524
Tatro_003061-T1,GO:0003824
